VIN,Stock#,Year,Make,Model,Type,Drive,Odo,Engine,Transmission,Ext color,yard_number,yard_name,Live Start,day_of_week,Event,time_zone,item,lot_number,vehicle_type,year,make,model_group,model_detail,body_style,color,damage_description,secondary_damage,sale_title_state,sale_title_type,has_keys,lot_cond_code,odometer_brand,est_retail_value,repair_cost,fuel_type,cylinders,runs_drives,sale_status,high_bid_non_vix_sealed_vix,special_note,Location,location_state,location_zip5,location_zip4,location_country,currency_code,image_thumbnail,create_date_time,grid_row,make_an_offer_eligible,Current Bid,image_url,trim,last_updated_time,rentals,copart_select,source,Timestamp
1FTBF2B69MED49185,DFX674556,2021,Ford,F-250 Super Duty,Pickup,4X4,10459                                                                                                        ACTUAL,6.2L Flex Fuel V8 385hp 430ft. lbs.,Automatic,WHITE,,,05/31/2023                                            Go to event list,,"Washington Internet Auction 10:00 am May 31, 2023",, 2021 Ford F-250SuperDuty ,,,,,,,,,,,,,,,,,,,,,,,,"Temple Hills, MD",,,,,$,,,,,,,,,,,,
JALC4W163D7004711,PHV160101,2013,Isuzu,NPR DIESEL,CAB-OVER-ENGINE,4X2,129646                                                                                                        ACTUAL,Diesel,Automatic,WHITE,,,05/31/2023                                            Go to event list,,"Philadelphia Internet Auction 04:00 pm May 31, 2023",, 2013 Isuzu NPRDIESEL ,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia, PA",,,,,$,,,,,,,,,,,,
RD11202329,NNH22340,1997,Honda,CR-V,CAB-OVER-ENGINE,4X2,96286                                                                                                        ACTUAL,Diesel,Automatic,Red,,,06/03/2023                                            Go to event list,,"Manchester Internet Auction 09:00 am June 03, 2023",, 1997 Honda CR-V ,,,,,,,,,,,,,,,,,,,,,,,,"Manchester, NH",,,,,$,,,,,,,,,,,,
4M2YU56Z06DJ08284,NPD61427,2006,Mercury,Mariner,SUV,FWD,233679                                                                                                        ACTUAL,2L NA I4 double overhead cam (DOHC) 16V,Automatic,GRAY,,,06/10/2023                                            Go to event list,,"Manchester Internet Auction 09:00 am June 10, 2023",, 2006 Mercury Mariner ,,,,,,,,,,,,,,,,,,,,,,,,"Manchester, NH",,,,,$,,,,,,,,,,,,
1TTE5320X71082950,DQI51201,2007,Transcraft,Mariner,SUV,FWD,233679                                                                                                        ACTUAL,2L NA I4 double overhead cam (DOHC) 16V,Automatic,GRAY,,,06/03/2023                                            Go to event list,,"Washington Internet Auction 10:00 am June 03, 2023",, 2007 Transcraft ,,,,,,,,,,,,,,,,,,,,,,,,"Temple Hills, MD",,,,,$,,,,,,,,,,,,
1HGCM56445A071150,PRU790021,2005,Honda,Accord,Sedan,FWD,204515                                                                                                        ACTUAL,2.4L I4 160hp 161ft. lbs.,Automatic,GREEN,,,05/30/2023                                            Go to event list,,"Philadelphia Internet Auction 04:00 pm May 30, 2023",, 2005 Honda Accord ,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia, PA",,,,,$,,,,,,,,,,,,
1J4GL48K56W170714,PCA59478,2006,JEEP,Liberty,SUV,4WD,136251                                                                                                        ACTUAL,3.7L V6 210hp 235ft. lbs.,Automatic,BLUE,,,05/31/2023                                            Go to event list,,"Philadelphia Internet Auction 04:00 pm May 31, 2023",, 2006 JEEP Liberty ,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia, PA",,,,,$,,,,,,,,,,,,
5NPEU46C48H350457,NPD61441,2008,Hyundai,Sonata,Sedan,FWD,179980                                                                                                        ACTUAL,2.4L I4 162hp 164ft. lbs.,Automatic,BLACK,,,06/03/2023                                            Go to event list,,"Manchester Internet Auction 09:00 am June 03, 2023",, 2008 Hyundai Sonata ,,,,,,,,,,,,,,,,,,,,,,,,"Manchester, NH",,,,,$,,,,,,,,,,,,
1N4AL11D03C293751,NPD61419,2003,NISSAN,Altima,Sedan,FWD,52122                                                                                                        ACTUAL,2L NA I4 double overhead cam (DOHC) 16V,Automatic,GRAY,,,06/10/2023                                            Go to event list,,"Manchester Internet Auction 09:00 am June 10, 2023",, 2003 NISSAN Altima ,,,,,,,,,,,,,,,,,,,,,,,,"Manchester, NH",,,,,$,,,,,,,,,,,,
WVWEK73C56P116969,DXY24685,2006,VOLKSWAGEN,Passat,Sedan,FWD,223017                                                                                                        ACTUAL,2.0L TC I4 double overhead cam (DOHC) 16V,Automatic,SILVER,,,05/30/2023                                            Go to event list,,"Philadelphia Internet Auction 04:00 pm May 30, 2023",, 2006 VOLKSWAGEN Passat ,,,,,,,,,,,,,,,,,,,,,,,,"Temple Hills, MD",,,,,$,,,,,,,,,,,,
WVWEK73C56P116969,DXY24685,2006,VOLKSWAGEN,Passat,Sedan,FWD,223017                                                                                                        ACTUAL,2.0L TC I4 double overhead cam (DOHC) 16V,Automatic,SILVER,,,06/03/2023                                            Go to event list,,"Washington Internet Auction 10:00 am June 03, 2023",, 2006 VOLKSWAGEN Passat ,,,,,,,,,,,,,,,,,,,,,,,,"Temple Hills, MD",,,,,$,,,,,,,,,,,,
