VIN,Stock#,Year,Make,Model,Type,Drive,Odo,Engine,Transmission,Ext color,yard_number,yard_name,Live Start,day_of_week,Event,time_zone,item,lot_number,vehicle_type,year,make,model_group,model_detail,body_style,color,damage_description,secondary_damage,sale_title_state,sale_title_type,has_keys,lot_cond_code,odometer_brand,est_retail_value,repair_cost,fuel_type,cylinders,runs_drives,sale_status,high_bid_non_vix_sealed_vix,special_note,Location,location_state,location_zip5,location_zip4,location_country,currency_code,image_thumbnail,create_date_time,grid_row,make_an_offer_eligible,Current Bid,image_url,trim,last_updated_time,rentals,copart_select,source,Timestamp
1C3LC55RX8N270820,PCA59212,2008,Chrysler,Sebring,CONVERTIBLE,FWD,151500                                                                                                        ACTUAL,2.7L Flex Fuel V6 186hp 191ft. lbs.,Automatic,WHITE,,,05/30/2023                                            Go to event list,,"Philadelphia Internet Auction 04:00 pm May 30, 2023",, 2008 Chrysler Sebring ,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia, PA",,,,,$,,,,,,,,,,,,
5B4KP57G523340501,PCS373499,2002,WINNEBAGO,SIGHTSEER P32 SLIDEOUT,Chassis,4X2,47851                                                                                                        ACTUAL,GM Vortec 8100 8.1L V8 325hp 450ft. lbs.,Automatic,WHITE,,,06/06/2023                                            Go to event list,,"Philadelphia Internet Auction 04:00 pm June 06, 2023",, 2002 WINNEBAGO SIGHTSEERP32SLIDEOUT ,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia, PA",,,,,$,,,,,,,,,,,,
1FTYR10U14PA30929,DCS482324,2004,Ford,Ranger,PICKUP TRUCK,RWD,127434                                                                                                        ACTUAL,3.0L V6 154hp 180ft. lbs.,Automatic,WHITE,,,06/03/2023                                            Go to event list,,"Washington Internet Auction 10:00 am June 03, 2023",, 2004 Ford Ranger ,,,,,,,,,,,,,,,,,,,,,,,,"Temple Hills, MD",,,,,$,,,,,,,,,,,,
1G1ZA5E11BF162134,NWZ36738,2011,Chevrolet,Malibu,Sedan,FWD,135644                                                                                                        ACTUAL,Ecotec 2.4L I4 169hp 160ft. lbs.,Automatic,SILVER,,,06/03/2023                                            Go to event list,,"Manchester Internet Auction 09:00 am June 03, 2023",, 2011 Chevrolet Malibu ,,,,,,,,,,,,,,,,,,,,,,,,"Manchester, NH",,,,,$,,,,,,,,,,,,
2G1WA5EK5A1123516,DDI902590,2010,Chevrolet,Impala,Sedan,FWD,89562                                                                                                        ACTUAL,3.5L Flex Fuel V6 211hp 216ft. lbs.,Automatic,SILVER,,,06/03/2023                                            Go to event list,,"Philadelphia Internet Auction 04:00 pm June 03, 2023",, 2010 Chevrolet Impala ,,,,,,,,,,,,,,,,,,,,,,,,"Temple Hills, MD",,,,,$,,,,,,,,,,,,
2G1WA5EK5A1123516,DDI902590,2010,Chevrolet,Impala,Sedan,FWD,89562                                                                                                        ACTUAL,3.5L Flex Fuel V6 211hp 216ft. lbs.,Automatic,SILVER,,,05/31/2023                                            Go to event list,,"Washington Internet Auction 10:00 am May 31, 2023",, 2010 Chevrolet Impala ,,,,,,,,,,,,,,,,,,,,,,,,"Temple Hills, MD",,,,,$,,,,,,,,,,,,
2G1WG5E38D1209818,PCA59469,2013,Chevrolet,IMPALA LT,Sedan,FWD,183490                                                                                                        ACTUAL,3.6L Flex Fuel V6 300hp 262ft. lbs.,Automatic,SILVER,,,05/31/2023                                            Go to event list,,"Philadelphia Internet Auction 04:00 pm May 31, 2023",, 2013 Chevrolet IMPALALT ,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia, PA",,,,,$,,,,,,,,,,,,
3A8FY68B27T516183,PEI132104,2007,Chrysler,PT CRUISER LIMITED,WAGON,FWD,56341                                                                                                        ACTUAL,2.4L I4 150hp 165ft. lbs.,Automatic,ORANGE,,,05/30/2023                                            Go to event list,,"Philadelphia Internet Auction 04:00 pm May 30, 2023",, 2007 Chrysler PTCRUISERLIMITED ,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia, PA",,,,,$,,,,,,,,,,,,
3FAHP0HG6BR264333,DBI10723,2011,Ford,Fusion,Sedan,FWD,129985                                                                                                        ACTUAL,3.0L Flex Fuel V6 240hp 223ft. lbs.,Automatic,BLUE,,,06/03/2023                                            Go to event list,,"Washington Internet Auction 10:00 am June 03, 2023",, 2011 Ford Fusion ,,,,,,,,,,,,,,,,,,,,,,,,"Temple Hills, MD",,,,,$,,,,,,,,,,,,
2G1WF5EK6B1270186,NWZ36736,2011,Chevrolet,Impala,Sedan,FWD,216413                                                                                                        ACTUAL,3.5L Flex Fuel V6 211hp 216ft. lbs.,Automatic,GRAY,,,06/03/2023                                            Go to event list,,"Manchester Internet Auction 09:00 am June 03, 2023",, 2011 Chevrolet Impala ,,,,,,,,,,,,,,,,,,,,,,,,"Manchester, NH",,,,,$,,,,,,,,,,,,
3GNCA13B09S618025,PCS373619,2009,Chevrolet,HHR,WAGON,FWD,105766                                                                                                        ACTUAL,ECOTEC 2.2L Flex Fuel I4 155hp 150ft. lbs.,Automatic,SILVER,,,06/03/2023                                            Go to event list,,"Philadelphia Internet Auction 04:00 pm June 03, 2023",, 2009 Chevrolet HHR ,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia, PA",,,,,$,,,,,,,,,,,,
3GNCA13B09S618025,PCS373619,2009,Chevrolet,HHR,WAGON,FWD,105766                                                                                                        ACTUAL,ECOTEC 2.2L Flex Fuel I4 155hp 150ft. lbs.,Automatic,SILVER,,,06/03/2023                                            Go to event list,,"Philadelphia Internet Auction 04:00 pm June 03, 2023",, 2009 Chevrolet HHR ,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia, PA",,,,,$,,,,,,,,,,,,
1G1ZW53136F160847,DCB1002484,2006,Chevrolet,Malibu,Sedan,FWD,169205                                                                                                        ACTUAL,3L NA V6 overhead valves (OHV) 12V,Automatic,BLUE,,,05/31/2023                                            Go to event list,,"Washington Internet Auction 10:00 am May 31, 2023",, 2006 Chevrolet Malibu ,,,,,,,,,,,,,,,,,,,,,,,,"Temple Hills, MD",,,,,$,,,,,,,,,,,,
2A8HR44H48R818194,PVL18484,2008,Chrysler,Town and Country,MINI VAN,FWD,107140                                            TMU,3.3L Flex Fuel V6 175hp 205ft. lbs.,Automatic,WHITE,,,05/30/2023                                            Go to event list,,"Philadelphia Internet Auction 04:00 pm May 30, 2023",, 2008 Chrysler TownandCountry ,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia, PA",,,,,$,,,,,,,,,,,,
JN8AZ08W86W533811,PCA59285,2006,NISSAN,Murano,SUV,AWD,173819                                                                                                        ACTUAL,3L NA V6 double overhead cam (DOHC) 24V,Automatic,GRAY,,,06/10/2023                                            Go to event list,,"Philadelphia Internet Auction 04:00 pm June 10, 2023",, 2006 NISSAN Murano ,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia, PA",,,,,$,,,,,,,,,,,,
1FAHP2MK9EG103105,DFX674549,2014,Ford,Taurus,Sedan,AWD,105336                                                                                                        ACTUAL,3.7L Flex Fuel V6 305hp 279ft. lbs.,Automatic,BLUE,,,06/03/2023                                            Go to event list,,"Washington Internet Auction 10:00 am June 03, 2023",, 2014 Ford Taurus ,,,,,,,,,,,,,,,,,,,,,,,,"Temple Hills, MD",,,,,$,,,,,,,,,,,,
1GCFG15T871237810,NRS44400,2007,Chevrolet,Express,Full-Size,RWD,262167                                                                                                        ACTUAL,5.3L V8 315hp 338ft. lbs.,Automatic,WHITE,,,06/03/2023                                            Go to event list,,"Manchester Internet Auction 09:00 am June 03, 2023",, 2007 Chevrolet Express ,,,,,,,,,,,,,,,,,,,,,,,,"Manchester, NH",,,,,$,,,,,,,,,,,,
3A4FY48B56T330318,PEI132080,2006,Chrysler,PT Cruiser,WAGON,FWD,67945                                                                                                        ACTUAL,2L NA I4 double overhead cam (DOHC) 16V,Automatic,BLUE,,,05/31/2023                                            Go to event list,,"Philadelphia Internet Auction 04:00 pm May 31, 2023",, 2006 Chrysler PTCruiser ,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia, PA",,,,,$,,,,,,,,,,,,
1FTRF17W81NA10642,PEI131665,2001,Ford,F-150,Pickup,RWD,124558                                                                                                        ACTUAL,4.6L V8 220hp 290ft. lbs.,Automatic,WHITE,,,06/03/2023                                            Go to event list,,"Philadelphia Internet Auction 04:00 pm June 03, 2023",, 2001 Ford F-150 ,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia, PA",,,,,$,,,,,,,,,,,,
1GNFK16Z94J167044,DEI880473,2004,Chevrolet,Suburban,SUV,4WD,180013                                                                                                        ACTUAL,5L NA V8 overhead valves (OHV) 16V,Automatic,GREEN,,,05/31/2023                                            Go to event list,,"Washington Internet Auction 10:00 am May 31, 2023",, 2004 Chevrolet Suburban ,,,,,,,,,,,,,,,,,,,,,,,,"Temple Hills, MD",,,,,$,,,,,,,,,,,,
1C3CCBAB3DN761845,PCS373328,2013,Chrysler,200,SUV,FWD,142243                                                                                                        ACTUAL,4 - Cyl.,Automatic,BLUE,,,05/30/2023                                            Go to event list,,"Philadelphia Internet Auction 04:00 pm May 30, 2023",, 2013 Chrysler 200 ,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia, PA",,,,,$,,,,,,,,,,,,
19UUA56613A022886,NPD61465,2003,ACURA,TL,Sedan,FWD,252152                                                                                                        ACTUAL,3L NA V6 single overhead cam (SOHC) 24V,Automatic,SILVER,,,06/10/2023                                            Go to event list,,"Manchester Internet Auction 09:00 am June 10, 2023",, 2003 ACURA TL ,,,,,,,,,,,,,,,,,,,,,,,,"Manchester, NH",,,,,$,,,,,,,,,,,,
2FACP74FXLX113370,DFO63545,1990,Ford,LTD Crown Victoria,Sedan,RWD,47100                                            TMUEXCEEDS,5.0L NA V8 overhead valves (OHV) 16V,Automatic,BLUE,,,06/03/2023                                            Go to event list,,"Washington Internet Auction 10:00 am June 03, 2023",, 1990 Ford LTDCrownVictoria ,,,,,,,,,,,,,,,,,,,,,,,,"Washington, DC",,,,,$,,,,,,,,,,,,
1G1ZB5E10BF230064,NPD61412,2011,Chevrolet,Malibu,Sedan,FWD,132294                                                                                                        ACTUAL,Ecotec 2.4L I4 169hp 160ft. lbs.,Automatic,GRAY,,,06/03/2023                                            Go to event list,,"Manchester Internet Auction 09:00 am June 03, 2023",, 2011 Chevrolet Malibu ,,,,,,,,,,,,,,,,,,,,,,,,"Manchester, NH",,,,,$,,,,,,,,,,,,
2C3LA53G46H109019,PCA59460,2006,Chrysler,300,Sedan,RWD,245638                                                                                                        ACTUAL,3L NA V6 single overhead cam (SOHC) 24V,Automatic,WHITE,,,05/31/2023                                            Go to event list,,"Philadelphia Internet Auction 04:00 pm May 31, 2023",, 2006 Chrysler 300 ,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia, PA",,,,,$,,,,,,,,,,,,
1HD1CWP426K453720,PWW347823,2006,HARLEY DAVIDSON,Sportster,Cruiser,RWD,3100                                                                                                        ACTUAL,1200,Manual,BLACK,,,06/03/2023                                            Go to event list,,"Philadelphia Internet Auction 04:00 pm June 03, 2023",, 2006 HARLEYDAVIDSON Sportster ,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia, PA",,,,,$,,,,,,,,,,,,
1C3CCBCBXCN281555,PCA59486,2012,Chrysler,200,Sedan,FWD,176122                                                                                                        ACTUAL,2.4L I4 173hp 166ft. lbs.,Automatic,Red,,,05/30/2023                                            Go to event list,,"Philadelphia Internet Auction 04:00 pm May 30, 2023",, 2012 Chrysler 200 ,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia, PA",,,,,$,,,,,,,,,,,,
1G1AT58H897270139,DCS483155,2009,Chevrolet,Cobalt,Sedan,FWD,110555                                                                                                        ACTUAL,ECOTEC 2.2L I4 155hp 150ft. lbs.,Automatic,BLUE,,,05/31/2023                                            Go to event list,,"Washington Internet Auction 10:00 am May 31, 2023",, 2009 Chevrolet Cobalt ,,,,,,,,,,,,,,,,,,,,,,,,"Temple Hills, MD",,,,,$,,,,,,,,,,,,
WBAVC73558KX90146,NWW252956,2008,BMW,3 Series,Sedan,AWD,219355                                                                                                        ACTUAL,3.0L I6 230hp 200ft. lbs.,Automatic,GRAY,,,06/10/2023                                            Go to event list,,"Manchester Internet Auction 09:00 am June 10, 2023",, 2008 BMW 3Series ,,,,,,,,,,,,,,,,,,,,,,,,"Manchester, NH",,,,,$,,,,,,,,,,,,
1FTDX1768VNB80335,DXY24684,1997,Ford,F-150,Pickup,RWD,183214                                            TMU,4.6L V8 SOHC 16V FI Engine,Automatic,MAROON,,,06/03/2023                                            Go to event list,,"Washington Internet Auction 10:00 am June 03, 2023",, 1997 Ford F-150 ,,,,,,,,,,,,,,,,,,,,,,,,"Temple Hills, MD",,,,,$,,,,,,,,,,,,
1GCVKREC9FZ186553,NNH22304,2015,Chevrolet,Silverado 1500,Pickup,4X4,151197                                                                                                        ACTUAL,EcoTec3 5.3L V8 355hp 383ft. lbs.,Automatic,WHITE,,,06/03/2023                                            Go to event list,,"Manchester Internet Auction 09:00 am June 03, 2023",, 2015 Chevrolet Silverado1500 ,,,,,,,,,,,,,,,,,,,,,,,,"Manchester, NH",,,,,$,,,,,,,,,,,,
2C4GP44313R230971,PEI132043,2003,Chrysler,Town and Country,MINI VAN,FWD,196497                                                                                                        ACTUAL,3L NA V6 overhead valves (OHV) 12V,Automatic,BLUE,,,05/31/2023                                            Go to event list,,"Philadelphia Internet Auction 04:00 pm May 31, 2023",, 2003 Chrysler TownandCountry ,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia, PA",,,,,$,,,,,,,,,,,,
5J6RE48709L031630,PVB11922,2009,Honda,CR-V,SUV,AWD,41225                                                                                                        ACTUAL,2.4L I4 166hp 161ft. lbs.,Automatic,SILVER,,,06/03/2023                                            Go to event list,,"Philadelphia Internet Auction 04:00 pm June 03, 2023",, 2009 Honda CR-V ,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia, PA",,,,,$,,,,,,,,,,,,
1C4GP45RX4B566959,PWW347924,2004,Chrysler,Town and Country,MINI VAN,FWD,211453                                                                                                        ACTUAL,3L NA V6 overhead valves (OHV) 12V,Automatic,BLUE,,,05/30/2023                                            Go to event list,,"Philadelphia Internet Auction 04:00 pm May 30, 2023",, 2004 Chrysler TownandCountry ,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia, PA",,,,,$,,,,,,,,,,,,
2GCFC29K5L1179002,DDB65120,1990,Chevrolet,C/K 2500 Series,Pickup,RWD,147149                                                                                                        ACTUAL,5.7L V8 OHV 16V FI Engine,Automatic,BLUE,,,05/31/2023                                            Go to event list,,"Washington Internet Auction 10:00 am May 31, 2023",, 1990 Chevrolet C/K2500Series ,,,,,,,,,,,,,,,,,,,,,,,,"Washington, DC",,,,,$,,,,,,,,,,,,
2GCFC29K5L1179002,DDB65120,1990,Chevrolet,C/K 2500 Series,Pickup,RWD,147149                                                                                                        ACTUAL,5.7L V8 OHV 16V FI Engine,Automatic,BLUE,,,05/31/2023                                            Go to event list,,"Washington Internet Auction 10:00 am May 31, 2023",, 1990 Chevrolet C/K2500Series ,,,,,,,,,,,,,,,,,,,,,,,,"Washington, DC",,,,,$,,,,,,,,,,,,
1FUJGMD19BDAZ4509,DQI51204,2011,FREIGHTLINER,Coronado 132,Conventional,6X4,176290                                                                                                        ACTUAL,Detroit DD16 15.6L I6 475-600hp 1850-2050ft. lbs.,Manual,BLACK,,,06/03/2023                                            Go to event list,,"Washington Internet Auction 10:00 am June 03, 2023",, 2011 FREIGHTLINER Coronado132 ,,,,,,,,,,,,,,,,,,,,,,,,"Temple Hills, MD",,,,,$,,,,,,,,,,,,
2C8GF68465R310754,NEI422412,2005,Chrysler,Pacifica,WAGON,AWD,164974                                                                                                        ACTUAL,3L NA V6 single overhead cam (SOHC) 24V,Automatic,GRAY,,,06/03/2023                                            Go to event list,,"Manchester Internet Auction 09:00 am June 03, 2023",, 2005 Chrysler Pacifica ,,,,,,,,,,,,,,,,,,,,,,,,"Manchester, NH",,,,,$,,,,,,,,,,,,
1D7HW28K66S557677,PMG30180,2006,Dodge,Dakota,Pickup,4WD,147504                                                                                                        ACTUAL,3.7L V6 210hp 235ft. lbs.,Automatic,BLUE,,,05/31/2023                                            Go to event list,,"Philadelphia Internet Auction 04:00 pm May 31, 2023",, 2006 Dodge Dakota ,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia, PA",,,,,$,,,,,,,,,,,,
JHLRD28461S009227,PHV160125,2001,Honda,CR-V,SUV,FWD,175108                                            TMUEXEMPT,2.0L NA I4 double overhead cam (DOHC) 16V,Automatic,GREEN,,,06/03/2023                                            Go to event list,,"Philadelphia Internet Auction 04:00 pm June 03, 2023",, 2001 Honda CR-V ,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia, PA",,,,,$,,,,,,,,,,,,
4YMBU0711JV021775,NET248274,2018,Carry On Trailer,4X7G,TRAILER,FWD,0                                                                                                        ACTUAL,Ecotec 1.5L Turbo I4 160hp 184ft. lbs.,Automatic,BLACK,,,06/10/2023                                            Go to event list,,"Manchester Internet Auction 09:00 am June 10, 2023",, 2018 CarryOnTrailer 4X7G ,,,,,,,,,,,,,,,,,,,,,,,,"Manchester, NH",,,,,$,,,,,,,,,,,,
4YMBU0711JV021775,NET248274,2018,Carry On Trailer,4X7G,TRAILER,FWD,0                                                                                                        ACTUAL,Ecotec 1.5L Turbo I4 160hp 184ft. lbs.,Automatic,BLACK,,,06/10/2023                                            Go to event list,,"Manchester Internet Auction 09:00 am June 10, 2023",, 2018 CarryOnTrailer 4X7G ,,,,,,,,,,,,,,,,,,,,,,,,"Manchester, NH",,,,,$,,,,,,,,,,,,
1GKDT13S382190893,DCS482120,2008,GMC,Envoy,SUV,AWD,187381                                                                                                        ACTUAL,Vortec 4.2L I6 285hp 276ft. lbs.,Automatic,TAN,,,06/03/2023                                            Go to event list,,"Washington Internet Auction 10:00 am June 03, 2023",, 2008 GMC Envoy ,,,,,,,,,,,,,,,,,,,,,,,,"Temple Hills, MD",,,,,$,,,,,,,,,,,,
3C4FY4BB71T323927,NPD61438,2001,Chrysler,PT Cruiser,WAGON,FWD,0                                            TMU,2L NA I4 double overhead cam (DOHC) 16V,Automatic,WHITE,,,06/03/2023                                            Go to event list,,"Manchester Internet Auction 09:00 am June 03, 2023",, 2001 Chrysler PTCruiser ,,,,,,,,,,,,,,,,,,,,,,,,"Manchester, NH",,,,,$,,,,,,,,,,,,
1D4PU4GK6BW510406,PEI132092,2011,Dodge,Nitro,SUV,4X4,120335                                                                                                        ACTUAL,3.7L V6 210hp 235ft. lbs.,Automatic,SILVER,,,05/31/2023                                            Go to event list,,"Philadelphia Internet Auction 04:00 pm May 31, 2023",, 2011 Dodge Nitro ,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia, PA",,,,,$,,,,,,,,,,,,
1HGCP26839A143602,PEI131707,2009,Honda,Accord,Sedan,FWD,81937                                                                                                        ACTUAL,2.4L I4 190hp 162ft. lbs.,Automatic,GRAY,,,06/03/2023                                            Go to event list,,"Philadelphia Internet Auction 04:00 pm June 03, 2023",, 2009 Honda Accord ,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia, PA",,,,,$,,,,,,,,,,,,
1A8GJ45R37B149925,PHV160192,2007,Chrysler,Town and Country,MINI VAN,FWD,999999                                            TMU,3.3L V6 overhead valve 12V,Automatic,BLUE,,,05/30/2023                                            Go to event list,,"Philadelphia Internet Auction 04:00 pm May 30, 2023",, 2007 Chrysler TownandCountry ,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia, PA",,,,,$,,,,,,,,,,,,
1GCEK19Z67Z201415,NCS154502,2007,Chevrolet,Silverado 1500 Classic,Pickup,4WD,200659                                                                                                        ACTUAL,Vortec 5.3L Flex Fuel V8 295hp 335ft. lbs.,Automatic,BLUE,,,06/10/2023                                            Go to event list,,"Manchester Internet Auction 09:00 am June 10, 2023",, 2007 Chevrolet Silverado1500Classic ,,,,,,,,,,,,,,,,,,,,,,,,"Manchester, NH",,,,,$,,,,,,,,,,,,
1C3EL45X95N699203,NCJ8544,2005,Chrysler,Sebring Convertible,CONVERTIBLE,FWD,148238                                                                                                        ACTUAL,2.4L I4 DOHC 16V FI Engine,Automatic,WHITE,,,06/03/2023                                            Go to event list,,"Manchester Internet Auction 09:00 am June 03, 2023",, 2005 Chrysler SebringConvertible ,,,,,,,,,,,,,,,,,,,,,,,,"Manchester, NH",,,,,$,,,,,,,,,,,,
1GDHG31U531161908,DCB1000877,2003,GMC,Savana,Full-Size,RWD,258552                                                                                                        ACTUAL,GM Vortec 6000 6.0L V8 345hp 380ft. lbs.,Automatic,WHITE,,,06/03/2023                                            Go to event list,,"Washington Internet Auction 10:00 am June 03, 2023",, 2003 GMC Savana ,,,,,,,,,,,,,,,,,,,,,,,,"Temple Hills, MD",,,,,$,,,,,,,,,,,,
1GNFK16T14J207788,DCB1001325,2004,Chevrolet,Suburban,SUV,4WD,185794                                                                                                        ACTUAL,5.3L V8 285hp 325ft. lbs.,Automatic,GRAY,,,05/31/2023                                            Go to event list,,"Washington Internet Auction 10:00 am May 31, 2023",, 2004 Chevrolet Suburban ,,,,,,,,,,,,,,,,,,,,,,,,"Washington, DC",,,,,$,,,,,,,,,,,,
3D4GG47BX9T516491,PPA30601,2009,Dodge,Journey,SUV,FWD,172713                                                                                                        ACTUAL,2.4L I4 173hp 166ft. lbs.,Automatic,BLUE,,,05/31/2023                                            Go to event list,,"Philadelphia Internet Auction 04:00 pm May 31, 2023",, 2009 Dodge Journey ,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia, PA",,,,,$,,,,,,,,,,,,
5NPEB4AC3CH457117,PPA30596,2012,Hyundai,Sonata,Sedan,FWD,118069                                                                                                        ACTUAL,2.4L I4 198hp 184ft. lbs.,Manual,BLACK,,,06/03/2023                                            Go to event list,,"Philadelphia Internet Auction 04:00 pm June 03, 2023",, 2012 Hyundai Sonata ,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia, PA",,,,,$,,,,,,,,,,,,
1B4HS28N7YF304487,PEI132053,2000,Dodge,Durango,SUV,4WD,192953                                                                                    EXEMPT,4.7L V8 235hp 295ft. lbs.,Automatic,GRAY,,,05/30/2023                                            Go to event list,,"Philadelphia Internet Auction 04:00 pm May 30, 2023",, 2000 Dodge Durango ,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia, PA",,,,,$,,,,,,,,,,,,
3GNFK12317G120808,NWW252955,2007,Chevrolet,Avalanche,Pickup,4WD,155080                                            TMU,Vortec Aluminum Block 5.3L Flex Fuel V8 310hp 335ft. lbs.,Automatic,WHITE,,,06/10/2023                                            Go to event list,,"Manchester Internet Auction 09:00 am June 10, 2023",, 2007 Chevrolet Avalanche ,,,,,,,,,,,,,,,,,,,,,,,,"Manchester, NH",,,,,$,,,,,,,,,,,,
4CP681H1337245152,NCS154499,2003,COLEMAN,Utah,POP UP CAMPER,4WD,0                                                                                                        ACTUAL,Vortec Aluminum Block 5.3L Flex Fuel V8 310hp 335ft. lbs.,Automatic,WHITE,,,06/03/2023                                            Go to event list,,"Manchester Internet Auction 09:00 am June 03, 2023",, 2003 COLEMAN Utah ,,,,,,,,,,,,,,,,,,,,,,,,"Manchester, NH",,,,,$,,,,,,,,,,,,
1HGCR2F74EA167077,DDI902596,2014,Honda,Accord,Sedan,FWD,123219                                                                                                        ACTUAL,2.4L I4 185hp 181ft. lbs.,Automatic,GRAY,,,06/03/2023                                            Go to event list,,"Washington Internet Auction 10:00 am June 03, 2023",, 2014 Honda Accord ,,,,,,,,,,,,,,,,,,,,,,,,"Temple Hills, MD",,,,,$,,,,,,,,,,,,
1G1ZC5E00AF227653,DDI902571,2010,Chevrolet,Malibu,Sedan,FWD,101558                                                                                                        ACTUAL,Ecotec 2.4L Flex Fuel I4 175hp 170ft. lbs.,Automatic,GRAY,,,05/31/2023                                            Go to event list,,"Washington Internet Auction 10:00 am May 31, 2023",, 2010 Chevrolet Malibu ,,,,,,,,,,,,,,,,,,,,,,,,"Temple Hills, MD",,,,,$,,,,,,,,,,,,
1B3CC5FB2AN131706,PMG30134,2010,Dodge,AVENGER R/T,Sedan,FWD,143319                                                                                                        ACTUAL,2.4L I4 173hp 166ft. lbs.,Automatic,BLACK,,,05/30/2023                                            Go to event list,,"Philadelphia Internet Auction 04:00 pm May 30, 2023",, 2010 Dodge AVENGERR/T ,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia, PA",,,,,$,,,,,,,,,,,,
1GNDT13S872241614,NWZ36741,2007,Chevrolet,TrailBlazer,SUV,4WD,174927                                                                                                        ACTUAL,4.2L inline 6 double overhead camshaft 24V,Automatic,MAROON,,,06/10/2023                                            Go to event list,,"Manchester Internet Auction 09:00 am June 10, 2023",, 2007 Chevrolet TrailBlazer ,,,,,,,,,,,,,,,,,,,,,,,,"Manchester, NH",,,,,$,,,,,,,,,,,,
2G1WF52E629248494,DCB1002489,2002,Chevrolet,Impala,Sedan,FWD,93330                                                                                                        ACTUAL,3L NA V6 overhead valves (OHV) 12V,Automatic,WHITE,,,05/31/2023                                            Go to event list,,"Washington Internet Auction 10:00 am May 31, 2023",, 2002 Chevrolet Impala ,,,,,,,,,,,,,,,,,,,,,,,,"Temple Hills, MD",,,,,$,,,,,,,,,,,,
1D4GP24R06B555075,PEI131596,2006,Dodge,GRAND CARAVAN SE,MINI VAN,FWD,224429                                                                                                        ACTUAL,3L NA V6 overhead valves (OHV) 12V,Automatic,GOLD,,,05/30/2023                                            Go to event list,,"Philadelphia Internet Auction 04:00 pm May 30, 2023",, 2006 Dodge GRANDCARAVANSE ,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia, PA",,,,,$,,,,,,,,,,,,
2C3KK63H56H350899,NEI422407,2006,Chrysler,300,Sedan,AWD,115850                                                                                                        ACTUAL,HEMI 5.7L V8 340hp 390ft. lbs.,Automatic,BLACK,,,06/10/2023                                            Go to event list,,"Manchester Internet Auction 09:00 am June 10, 2023",, 2006 Chrysler 300 ,,,,,,,,,,,,,,,,,,,,,,,,"Manchester, NH",,,,,$,,,,,,,,,,,,
KM8NUDCC5BU147011,PVC15090,2011,Hyundai,VERACRUZ LIMITED,WAGON,AWD,177850                                                                                                        ACTUAL,3.8L V6 260hp 257ft. lbs.,Automatic,SILVER,,,06/03/2023                                            Go to event list,,"Philadelphia Internet Auction 04:00 pm June 03, 2023",, 2011 Hyundai VERACRUZLIMITED ,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia, PA",,,,,$,,,,,,,,,,,,
1GCDC14KXLE109504,DCB1002364,1990,Chevrolet,C/K 1500 Series,Pickup,RWD,233794                                                                EXCEEDS,5.7L V8 OHV 16V FI Engine,Automatic,BLACK,,,05/31/2023                                            Go to event list,,"Washington Internet Auction 10:00 am May 31, 2023",, 1990 Chevrolet C/K1500Series ,,,,,,,,,,,,,,,,,,,,,,,,"Temple Hills, MD",,,,,$,,,,,,,,,,,,
1D8GU58K07W678729,PWW347851,2007,Dodge,NITRO SLT,SUV,4WD,227468                                                                                                        ACTUAL,3.7L V6 single overhead camshaft 12V,Automatic,Red,,,05/30/2023                                            Go to event list,,"Philadelphia Internet Auction 04:00 pm May 30, 2023",, 2007 Dodge NITROSLT ,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia, PA",,,,,$,,,,,,,,,,,,
